Target: http://creative.thm/
Total requests: 114442
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00439:  C=301      7 L	      12 W	    178 Ch	  "banner"
00441:  C=301      7 L	      12 W	    178 Ch	  "w"
00437:  C=301      7 L	      12 W	    178 Ch	  "origin-www"
00435:  C=301      7 L	      12 W	    178 Ch	  "voip750101.pg6.sip"
00434:  C=301      7 L	      12 W	    178 Ch	  "wwww"
00431:  C=301      7 L	      12 W	    178 Ch	  "atlas"
00427:  C=301      7 L	      12 W	    178 Ch	  "board"
00429:  C=301      7 L	      12 W	    178 Ch	  "www.my"
00433:  C=301      7 L	      12 W	    178 Ch	  "images8"
00428:  C=301      7 L	      12 W	    178 Ch	  "vod"
00430:  C=301      7 L	      12 W	    178 Ch	  "cache"
00436:  C=301      7 L	      12 W	    178 Ch	  "cas"
00426:  C=301      7 L	      12 W	    178 Ch	  "in"
00425:  C=301      7 L	      12 W	    178 Ch	  "health"
00424:  C=301      7 L	      12 W	    178 Ch	  "faq"
00423:  C=301      7 L	      12 W	    178 Ch	  "kb"
00420:  C=301      7 L	      12 W	    178 Ch	  "o1.email"
00419:  C=301      7 L	      12 W	    178 Ch	  "lab"
00421:  C=301      7 L	      12 W	    178 Ch	  "server3"
00418:  C=301      7 L	      12 W	    178 Ch	  "book"
00422:  C=301      7 L	      12 W	    178 Ch	  "img3"
00415:  C=301      7 L	      12 W	    178 Ch	  "student"
00417:  C=301      7 L	      12 W	    178 Ch	  "domains"
00413:  C=301      7 L	      12 W	    178 Ch	  "fs"
00412:  C=301      7 L	      12 W	    178 Ch	  "pm"
00414:  C=301      7 L	      12 W	    178 Ch	  "w3"
00411:  C=301      7 L	      12 W	    178 Ch	  "orion"
00410:  C=301      7 L	      12 W	    178 Ch	  "web4"
00409:  C=301      7 L	      12 W	    178 Ch	  "www.video"
00407:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.forum"
00406:  C=301      7 L	      12 W	    178 Ch	  "css"
00452:  C=301      7 L	      12 W	    178 Ch	  "idp"
00446:  C=301      7 L	      12 W	    178 Ch	  "webdisk.demo"
00403:  C=301      7 L	      12 W	    178 Ch	  "images7"
00405:  C=301      7 L	      12 W	    178 Ch	  "public"
00448:  C=301      7 L	      12 W	    178 Ch	  "market"
00460:  C=301      7 L	      12 W	    178 Ch	  "mantis"
00488:  C=301      7 L	      12 W	    178 Ch	  "nl"
